,2018,2019,2020,2021,2022,2023,min_coverage
pas_xAG,0.0,0.0,0.0,0.0,0.0,0.99,0.0
pas_A_minus_xA,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pas_A_minus_xAG,0.0,0.0,0.0,0.0,0.0,0.99,0.0
pos_Dis_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Dis_Dribbles,0.0,0.0,0.0,0.0,0.0,0.99,0.0
pos_Mis_Dribbles,0.0,0.0,0.0,0.0,0.0,0.99,0.0
pos_Targ_Receiving,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Rec_percent_Receiving,0.997,0.994,0.996,0.994,0.997,0.0,0.0
pos_nPl_Dribbles,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Megs_Dribbles,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Carries_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_Mid_3rd_Pressures,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_Succ_Pressures,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_percent_Pressures,0.988,0.989,0.99,0.991,0.988,0.0,0.0
def_Press_Pressures,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_Att_3rd_Pressures,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_Def_3rd_Pressures,0.999,1.0,1.0,1.0,1.0,0.0,0.0
def_ShSv_Blocks,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Mis_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_TotDist_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_PrgDist_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Prog_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_Final_Third_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pos_CPA_Carries,0.999,1.0,1.0,1.0,1.0,0.0,0.0
pt_Mn_per_Sub_Subs,0.361,0.842,0.88,0.898,0.904,0.737,0.361
pt_Mn_per_Start_Starts,0.386,0.909,0.9,0.883,0.87,0.842,0.386
sho_G_per_SoT_Standard,0.783,0.783,0.752,0.752,0.755,0.603,0.603
sho_Dist_Standard,0.902,0.902,0.891,0.878,0.882,0.834,0.834
sho_npxG_per_Sh_Expected,0.902,0.902,0.891,0.878,0.882,0.834,0.834
sho_G_per_Sh_Standard,0.902,0.902,0.891,0.878,0.882,0.835,0.835
sho_SoT_percent_Standard,0.902,0.902,0.891,0.878,0.882,0.835,0.835
pos_Succ_percent_Dribbles,0.914,0.915,0.91,0.897,0.894,0.837,0.837
def_Tkl_percent_Vs,0.945,0.936,0.922,0.924,0.909,0.877,0.877
msc_Won_percent_Aerial,0.949,0.952,0.949,0.943,0.951,0.92,0.92
pas_Cmp_percent_Long,0.967,0.955,0.955,0.954,0.946,0.927,0.927
pas_Cmp_percent_Medium,0.988,0.983,0.983,0.978,0.977,0.966,0.966
pt_On_minus_Off_Team_Success,0.995,0.997,0.995,0.998,0.999,0.966,0.966
pt_On_minus_Off_Team_Success_xG,0.994,0.997,0.995,0.998,0.999,0.966,0.966
pas_Cmp_percent_Short,0.993,0.988,0.985,0.987,0.987,0.972,0.972
pas_Cmp_percent_Total,0.997,0.994,0.993,0.995,0.995,0.983,0.983
