fbref_id,tm_id,PlayerFBref,TmPos,UrlTmarkt
27c01749,434207,Aaron Connolly,Centre-Forward,https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207
4f974391,92571,Aaron Cresswell,Left-Back,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
1780bb4a,591949,Aaron Hickey,Left-Back,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
5f9f0531,4687,Aaron Hunt,Attacking Midfield,https://www.transfermarkt.com/aaron-hunt/profil/spieler/4687
2ff964a0,14221,Aaron Lennon,Right Winger,https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221
29ef0f49,289587,Aaron Leya Iseka,Centre-Forward,https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587
47b7e3af,123951,Aaron Mooy,Central Midfield,https://www.transfermarkt.com/aaron-mooy/profil/spieler/123951
ef619b0b,50057,Aaron Ramsey,Central Midfield,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057
4b6bcb0d,657994,Aaron Rowe,Right Midfield,https://www.transfermarkt.com/aaron-rowe/profil/spieler/657994
9e525177,477758,Aaron Wan-Bissaka,Right-Back,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
2f3e911a,251878,AarÃ³n MartÃ­n,Left-Back,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
4749367a,232854,Abdallah N'dour,Left-Back,https://www.transfermarkt.com/abdallah-ndour/profil/spieler/232854
fdbde523,776798,Abdallah Sima,Right Winger,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798
ab99e4a0,615636,Abdallahi Mahmoud,Central Midfield,https://www.transfermarkt.com/abdallahi-mahmoud/profil/spieler/615636
bed68338,724520,Abde Ezzalzouli,Left Winger,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520
4937a9f7,596901,Abdel Jalil Medioub,Centre-Back,https://www.transfermarkt.com/abdel-medioub/profil/spieler/596901
