fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability
0000acda,Marco Benassi,2018,MF,22.0,2782.0,Fiorentina,Serie A,True,68.3,57.0,56.7,36.9,56.5,54.5,공격형 MF,0.61,58.3,56.4
0000acda,Marco Benassi,2019,MF,23.0,2282.0,Fiorentina,Serie A,True,68.9,48.3,39.9,39.6,20.5,43.8,공격형 MF,1.23,49.7,46.8
0000acda,Marco Benassi,2020,MF,24.0,980.0,Fiorentina,Serie A,True,50.7,37.0,55.9,43.8,38.6,44.5,공격형 MF,0.51,47.6,46.0
0000acda,Marco Benassi,2022,MF,26.0,540.0,Empoli / Fiorentina,Serie A,False,47.5,63.9,30.9,41.6,57.6,49.4,수비형 파괴자,0.29,52.7,51.0
0000acda,Marco Benassi,2023,DF,28.0,93.0,Fiorentina,Serie A,False,52.3,82.3,62.3,52.7,61.3,63.0,빌드업 수비수,2.12,65.7,64.4
000b3da6,Manuel Iturra,2018,MF,33.0,1583.0,Málaga,La Liga,True,26.7,21.2,11.6,50.8,73.1,33.8,수비형 파괴자,0.31,54.4,44.1
000b3da6,Manuel Iturra,2019,MF,34.0,74.0,Villarreal,La Liga,False,22.3,34.3,2.2,67.5,80.6,39.7,수비형 파괴자,1.83,63.5,51.6
00242715,Moussa Niakhate,2018,DF,21.0,3105.0,Metz,Ligue 1,True,49.3,40.7,21.5,49.5,48.5,44.5,빌드업 수비수,0.7,43.4,44.0
00242715,Moussa Niakhate,2019,DF,22.0,2789.0,Mainz 05,Bundesliga,True,51.0,28.6,36.5,49.6,58.8,47.9,스토퍼,0.01,52.8,50.3
00242715,Moussa Niakhate,2020,DF,23.0,2970.0,Mainz 05,Bundesliga,True,51.9,44.2,45.1,47.7,59.4,51.6,스토퍼,0.45,54.4,53.0
00242715,Moussa Niakhate,2021,DF,24.0,2866.0,Mainz 05,Bundesliga,True,62.7,53.5,52.6,38.9,53.1,50.1,스토퍼,0.06,49.9,50.0
00242715,Moussa Niakhate,2022,DF,25.0,2567.0,Mainz 05,Bundesliga,True,56.3,52.7,44.9,41.5,65.9,54.6,스토퍼,0.27,57.8,56.2
00242715,Moussa Niakhate,2023,DF,26.0,160.0,Nott'ham Forest,Premier League,False,73.8,22.8,21.8,25.2,43.7,34.2,스토퍼,5.26,37.4,35.8
00242b75,Leandro Barreiro Martins,2019,MF,18.0,90.0,Mainz 05,Bundesliga,False,29.2,33.1,14.8,41.0,74.5,36.6,수비형 파괴자,0.7,54.7,45.7
00242b75,Leandro Barreiro Martins,2020,MF,19.0,938.0,Mainz 05,Bundesliga,True,27.9,25.0,23.6,44.1,81.5,37.5,수비형 파괴자,1.45,58.1,47.8
00242b75,Leandro Barreiro Martins,2021,MF,20.0,2303.0,Mainz 05,Bundesliga,True,57.7,17.7,18.3,35.2,83.8,37.3,수비형 파괴자,1.02,57.2,47.2
00242b75,Leandro Barreiro Martins,2022,MF,21.0,1789.0,Mainz 05,Bundesliga,True,55.9,22.2,35.3,30.3,73.2,39.1,수비형 파괴자,0.64,52.0,45.6
00242b75,Leandro Barreiro Martins,2023,MF,22.0,561.0,Mainz 05,Bundesliga,False,47.1,24.3,23.2,8.5,53.8,28.8,공격형 MF,0.06,30.7,29.8
0033fb1b,Niclas Eliasson,2021,MF,24.0,1799.0,Nîmes,Ligue 1,True,75.6,25.7,58.8,21.5,52.9,43.1,딥 플레이메이커,0.54,39.5,41.3
003a5c72,Mikel San José,2018,MF,28.0,2155.0,Athletic Club,La Liga,True,35.3,39.1,22.6,45.0,72.9,41.5,수비형 파괴자,0.68,56.5,49.0
003a5c72,Mikel San José,2019,MF,29.0,1733.0,Athletic Club,La Liga,True,29.4,37.1,30.5,45.7,74.5,42.0,수비형 파괴자,0.79,57.3,49.6
003a5c72,Mikel San José,2020,MF,30.0,359.0,Athletic Club,La Liga,False,40.6,11.4,8.4,43.8,64.5,29.6,수비형 파괴자,1.7,47.4,38.5
00459419,Marko Arnautović,2018,FW,28.0,2313.0,West Ham,Premier League,True,72.6,62.3,66.0,35.3,70.4,65.3,돌파형 윙어,0.93,65.3,65.3
00459419,Marko Arnautović,2019,FW,29.0,1990.0,West Ham,Premier League,True,74.1,51.2,64.4,52.4,39.4,61.9,박스 포처,0.36,64.7,63.3
00459419,Marko Arnautović,2022,FW,32.0,2694.0,Bologna,Serie A,True,62.4,56.4,55.8,41.2,41.5,55.7,박스 포처,0.08,56.6,56.2
00459419,Marko Arnautović,2023,FW,33.0,867.0,Bologna,Serie A,True,37.4,47.5,59.9,24.1,47.4,43.6,연결형 공격수,1.64,45.8,44.7
0049d544,Yassine El Ghanassy,2018,MF,27.0,644.0,Nantes,Ligue 1,True,53.8,76.2,91.3,28.9,7.3,56.1,볼 운반형,1.14,63.0,59.6
004d185e,Tete Morente,2021,MF,23.0,2019.0,Elche,La Liga,True,51.5,34.2,45.4,24.8,43.0,38.5,볼 운반형,0.89,37.6,38.0
004d185e,Tete Morente,2022,MF,24.0,1632.0,Elche,La Liga,True,69.7,48.0,47.2,22.6,47.3,45.9,볼 운반형,0.4,46.1,46.0
004d185e,Tete Morente,2023,MF,25.0,628.0,Elche,La Liga,True,50.0,37.8,26.1,27.4,54.2,37.7,볼 운반형,0.13,36.7,37.2
00528660,Filippo Costa,2018,DF,22.0,1473.0,SPAL,Serie A,True,47.6,52.2,82.4,20.6,35.5,40.4,공격형 풀백,1.84,51.2,45.8
00528660,Filippo Costa,2019,DF,23.0,564.0,SPAL,Serie A,False,53.3,37.4,86.2,11.1,46.7,40.2,공격형 풀백,1.32,49.1,44.7
005c0807,Zinedine Ferhat,2020,MF,26.0,2246.0,Nîmes,Ligue 1,True,69.5,60.1,77.8,16.8,42.8,53.8,공격형 MF,0.24,63.0,58.4
005c0807,Zinedine Ferhat,2021,MF,27.0,2957.0,Nîmes,Ligue 1,True,74.9,56.7,83.3,15.7,52.3,55.9,공격형 MF,0.07,65.8,60.8
00638016,Léo Pétrot,2022,DF,24.0,1815.0,Lorient,Ligue 1,True,42.4,21.0,12.8,64.2,55.3,45.8,스토퍼,0.77,52.8,49.3
00672803,Lasse Günther,2022,DF,18.0,161.0,Augsburg,Bundesliga,False,43.1,59.0,41.6,43.4,34.1,42.6,공격형 풀백,0.75,45.7,44.2
007414dd,Samuel Edozie,2023,MF,19.0,99.0,Southampton,Premier League,False,39.6,54.6,56.7,12.9,35.3,41.5,볼 운반형,3.01,45.3,43.4
0076ab7f,Nemanja Gudelj,2020,MF,27.0,1216.0,Sevilla,La Liga,True,13.9,24.3,6.9,72.2,71.5,35.9,수비형 파괴자,0.47,58.5,47.2
0076ab7f,Nemanja Gudelj,2021,MF,28.0,1041.0,Sevilla,La Liga,True,13.6,28.9,3.4,64.1,73.8,35.3,수비형 파괴자,0.9,58.1,46.7
0076ab7f,Nemanja Gudelj,2022,DF,29.0,1046.0,Sevilla,La Liga,True,30.8,25.4,24.1,55.5,75.6,53.2,스토퍼,0.16,63.2,58.2
0076ab7f,Nemanja Gudelj,2023,DF,30.0,855.0,Sevilla,La Liga,True,62.9,23.8,28.8,62.8,46.5,45.1,스토퍼,1.41,48.4,46.8
007b39a5,Onel Hernández,2020,MF,26.0,1384.0,Norwich City,Premier League,True,58.1,52.3,51.8,18.2,34.6,43.6,볼 운반형,1.05,45.9,44.8
007faf7a,Lucas Da Cunha,2020,MF,18.0,72.0,Rennes,Ligue 1,False,38.3,26.6,69.1,58.0,16.0,41.5,공격형 MF,0.18,45.5,43.5
007faf7a,Lucas Da Cunha,2022,FW,20.0,1229.0,Clermont Foot / Nice,Ligue 1,True,27.2,69.9,69.0,51.6,64.1,50.2,연결형 공격수,0.52,55.9,53.0
00823e9a,Cesar Falletti,2018,MF,24.0,321.0,Bologna,Serie A,False,71.4,68.2,49.2,21.1,51.5,52.9,공격형 MF,0.15,57.9,55.4
00844823,Niklas Moisander,2018,DF,31.0,2250.0,Werder Bremen,Bundesliga,True,68.1,73.4,38.0,65.4,55.4,60.4,빌드업 수비수,0.83,63.6,62.0
00844823,Niklas Moisander,2019,DF,32.0,2637.0,Werder Bremen,Bundesliga,True,33.1,73.1,52.9,59.1,44.0,53.9,빌드업 수비수,0.81,59.0,56.4
00844823,Niklas Moisander,2020,DF,33.0,1979.0,Werder Bremen,Bundesliga,True,55.8,76.7,41.6,62.9,53.7,59.5,빌드업 수비수,0.59,63.4,61.4
