fbref_id,Season_End_Year,Player,Nation,Pos,age_y,Born,Squads,Comps,n_clubs,std_MP_Playing,std_Starts_Playing,std_Min_Playing,std_Mins_Per_90_Playing,std_Gls,std_Ast,std_G_minus_PK,std_PK,std_PKatt,std_CrdY,std_CrdR,std_Gls_Per,std_Ast_Per,std_G_plus_A_Per,std_G_minus_PK_Per,std_G_plus_A_minus_PK_Per,std_xG_Expected,std_npxG_Expected,std_xAG_Expected,std_npxG_plus_xAG_Expected,std_xG_Per,std_xAG_Per,std_xG_plus_xAG_Per,std_npxG_Per,std_npxG_plus_xAG_Per,std_age_y,sho_Sh_Standard,sho_SoT_Standard,sho_SoT_percent_Standard,sho_Sh_per_90_Standard,sho_SoT_per_90_Standard,sho_G_per_Sh_Standard,sho_G_per_SoT_Standard,sho_Dist_Standard,sho_FK_Standard,sho_npxG_per_Sh_Expected,sho_G_minus_xG_Expected,sho_np:G_minus_xG_Expected,pas_Cmp_Total,pas_Att_Total,pas_Cmp_percent_Total,pas_TotDist_Total,pas_PrgDist_Total,pas_Cmp_Short,pas_Att_Short,pas_Cmp_percent_Short,pas_Cmp_Medium,pas_Att_Medium,pas_Cmp_percent_Medium,pas_Cmp_Long,pas_Att_Long,pas_Cmp_percent_Long,pas_Ast,pas_xA,pas_A_minus_xA,pas_KP,pas_Final_Third,pas_PPA,pas_CrsPA,pas_Prog,pas_xAG,pas_A_minus_xAG,pos_Touches_Touches,pos_Def_Pen_Touches,pos_Def_3rd_Touches,pos_Mid_3rd_Touches,pos_Att_3rd_Touches,pos_Att_Pen_Touches,pos_Live_Touches,pos_Succ_Dribbles,pos_Att_Dribbles,pos_Succ_percent_Dribbles,pos_nPl_Dribbles,pos_Megs_Dribbles,pos_Carries_Carries,pos_TotDist_Carries,pos_PrgDist_Carries,pos_Prog_Carries,pos_Final_Third_Carries,pos_CPA_Carries,pos_Mis_Carries,pos_Dis_Carries,pos_Targ_Receiving,pos_Rec_Receiving,pos_Rec_percent_Receiving,pos_Prog_Receiving,pos_Mis_Dribbles,pos_Dis_Dribbles,gca_SCA_SCA,gca_SCA90_SCA,gca_PassLive_SCA,gca_PassDead_SCA,gca_Drib_SCA,gca_Sh_SCA,gca_Fld_SCA,gca_Def_SCA,gca_GCA_GCA,gca_GCA90_GCA,gca_PassLive_GCA,gca_PassDead_GCA,gca_Drib_GCA,gca_Sh_GCA,gca_Fld_GCA,gca_Def_GCA,def_Tkl_Tackles,def_TklW_Tackles,def_Def_3rd_Tackles,def_Mid_3rd_Tackles,def_Att_3rd_Tackles,def_Tkl_Vs,def_Att_Vs,def_Tkl_percent_Vs,def_Past_Vs,def_Press_Pressures,def_Succ_Pressures,def_percent_Pressures,def_Def_3rd_Pressures,def_Mid_3rd_Pressures,def_Att_3rd_Pressures,def_Blocks_Blocks,def_Sh_Blocks,def_ShSv_Blocks,def_Pass_Blocks,def_Int,def_Tkl_plus_Int,def_Clr,def_Err,msc_2CrdY,msc_Fls,msc_Fld,msc_Off,msc_Crs,msc_PKwon,msc_PKcon,msc_OG,msc_Recov,msc_Won_Aerial,msc_Lost_Aerial,msc_Won_percent_Aerial,pt_Mn_per_MP_Playing_Time,pt_Min_percent_Playing_Time,pt_Mn_per_Start_Starts,pt_Compl_Starts,pt_Subs_Subs,pt_Mn_per_Sub_Subs,pt_unSub_Subs,pt_PPM_Team_Success,pt_onG_Team_Success,pt_onGA_Team_Success,pt_plus_per_minus_Team_Success,pt_plus_per_minus_90_Team_Success,pt_On_minus_Off_Team_Success,pt_onxG_Team_Success_xG,pt_onxGA_Team_Success_xG,pt_xGplus_per_minus_Team_Success_xG,pt_xGplus_per_minus_90_Team_Success_xG,pt_On_minus_Off_Team_Success_xG,pos_primary,pos_multi
011d8c56,2018,Miguel Ángel Moyá,ESP,GK,33.0,1984.0,Real Sociedad,La Liga,1,9.0,9.0,764.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,204.0,272.0,75.0,7021.0,3967.0,11.0,12.0,91.7,94.0,95.0,98.9,98.0,164.0,59.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,321.0,296.0,320.0,3.0,0.0,0.0,279.0,0.0,0.0,,0.0,0.0,199.0,882.0,480.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,0.0,,85.0,22.3,85.0,8.0,0.0,,27.0,1.22,9.0,8.0,1.0,0.12,-0.09,8.9,9.9,-1.0,-0.11,-0.4,GK,0
011d8c56,2019,Miguel Ángel Moyá,ESP,GK,34.0,1984.0,Real Sociedad,La Liga,1,11.0,11.0,990.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,292.0,362.0,80.7,9462.0,5487.0,31.0,31.0,100.0,123.0,124.0,99.2,138.0,207.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,393.0,336.0,389.0,5.0,0.0,0.0,291.0,1.0,1.0,100.0,1.0,0.0,211.0,778.0,505.0,0.0,0.0,0.0,1.0,0.0,188.0,187.0,99.5,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,90.0,28.9,90.0,11.0,0.0,,22.0,1.0,9.0,11.0,-2.0,-0.18,-0.22,13.6,10.1,3.6,0.33,0.36,GK,0
011d8c56,2020,Miguel Ángel Moyá,ESP,GK,35.0,1984.0,Real Sociedad,La Liga,1,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,363.0,458.0,79.29999999999998,11153.0,6654.0,45.0,46.0,97.79999999999998,170.0,171.0,99.4,147.0,240.0,61.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,490.0,419.0,489.0,3.0,0.0,0.0,357.0,2.0,2.0,100.0,2.0,0.0,245.0,998.0,468.0,0.0,0.0,0.0,0.0,0.0,218.0,218.0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,,90.0,34.2,90.0,13.0,0.0,,22.0,1.46,18.0,16.0,2.0,0.15,-0.09,12.8,11.5,1.3,0.1,-0.09,GK,0
01b8a2b2,2018,Wojciech Szczęsny,POL,GK,27.0,1990.0,Juventus,Serie A,1,17.0,17.0,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,348.0,439.0,79.3,11624.0,6464.0,26.0,26.0,100.0,161.0,162.0,99.4,161.0,251.0,64.1,0.0,0.1,-0.1,1.0,2.0,0.0,0.0,0.0,,,467.0,430.0,467.0,0.0,0.0,0.0,353.0,1.0,1.0,100.0,1.0,0.0,265.0,1049.0,510.0,0.0,0.0,0.0,0.0,0.0,233.0,232.0,99.6,0.0,,,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,,90.0,44.7,,17.0,0.0,,21.0,2.47,31.0,9.0,22.0,1.29,-0.61,27.4,11.4,16.0,0.9399999999999998,0.23,GK,0
01b8a2b2,2019,Wojciech Szczęsny,POL,GK,28.0,1990.0,Juventus,Serie A,1,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,585.0,731.0,80.0,18815.0,10520.0,56.0,56.0,100.0,273.0,275.0,99.3,256.0,399.0,64.2,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,,787.0,700.0,784.0,4.0,0.0,0.0,552.0,0.0,0.0,,0.0,0.0,367.0,1772.0,889.0,0.0,0.0,0.0,0.0,0.0,316.0,315.0,99.7,0.0,,,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,,90.0,73.7,90.0,28.0,0.0,,10.0,2.54,55.0,20.0,35.0,1.25,0.75,46.1,27.9,18.2,0.65,0.26,GK,0
01b8a2b2,2020,Wojciech Szczęsny,POL,GK,29.0,1990.0,Juventus,Serie A,1,29.0,29.0,2591.0,28.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,656.0,761.0,86.2,17645.0,8724.0,128.0,128.0,100.0,281.0,286.0,98.3,241.0,339.0,71.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,830.0,736.0,823.0,8.0,0.0,0.0,589.0,0.0,0.0,,0.0,0.0,339.0,1553.0,695.0,0.0,0.0,0.0,0.0,0.0,323.0,319.0,98.8,0.0,,,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,131.0,0.0,0.0,,89.0,75.8,89.0,28.0,0.0,,7.0,2.1,57.0,33.0,24.0,0.8299999999999998,-0.14,49.7,34.0,15.7,0.55,-0.67,GK,0
01b8a2b2,2021,Wojciech Szczęsny,POL,GK,30.0,1990.0,Juventus,Serie A,1,30.0,30.0,2677.0,29.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,910.0,1015.0,89.7,23298.0,12080.0,186.0,186.0,100.0,444.0,449.0,98.9,279.0,376.0,74.2,1.0,0.1,0.9,1.0,4.0,0.0,0.0,1.0,,,1076.0,935.0,1066.0,10.0,0.0,0.0,866.0,2.0,2.0,100.0,2.0,0.0,589.0,2637.0,1440.0,0.0,0.0,0.0,0.0,0.0,607.0,606.0,99.8,0.0,,,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,,89.0,78.3,89.0,29.0,0.0,,8.0,1.8700000000000003,55.0,32.0,23.0,0.77,-1.16,54.5,28.9,25.5,0.8599999999999999,-0.41,GK,0
01b8a2b2,2022,Wojciech Szczęsny,POL,GK,31.0,1990.0,Juventus,Serie A,1,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,827.0,1015.0,81.5,23773.0,12622.0,118.0,119.0,99.2,392.0,395.0,99.2,313.0,495.0,63.2,0.0,0.1,-0.1,3.0,2.0,0.0,0.0,0.0,,,1074.0,947.0,1067.0,12.0,0.0,0.0,845.0,1.0,1.0,100.0,1.0,0.0,560.0,2653.0,1298.0,0.0,0.0,0.0,1.0,0.0,568.0,568.0,100.0,0.0,,,6.0,0.18,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,129.0,0.0,0.0,,90.0,86.8,90.0,33.0,0.0,,4.0,1.91,50.0,29.0,21.0,0.64,0.84,46.2,33.3,12.9,0.3899999999999999,0.28,GK,0
01b8a2b2,2023,Wojciech Szczęsny,POL,GK,32.0,1990.0,Juventus,Serie A,1,7.0,7.0,582.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,125.0,167.0,74.9,3953.0,2879.0,12.0,12.0,100.0,62.0,62.0,100.0,51.0,91.0,56.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,177.0,156.0,177.0,0.0,0.0,0.0,177.0,0.0,0.0,,,,,,,,,,,,,97.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,82.0,49.7,82.0,5.0,0.0,,1.0,2.17,10.0,3.0,7.0,1.28,0.74,8.7,5.3,3.5,0.64,0.84,GK,0
03760df0,2018,Emiliano Viviano,ITA,GK,31.0,1985.0,Sampdoria,Serie A,1,27.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,518.0,789.0,65.7,17905.0,12285.0,77.0,79.0,97.5,198.0,200.0,99.0,242.0,509.0,47.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,888.0,795.0,885.0,4.0,1.0,0.0,630.0,0.0,0.0,,0.0,0.0,402.0,1995.0,1084.0,0.0,0.0,0.0,1.0,0.0,325.0,325.0,100.0,0.0,,,3.0,0.11,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,,90.0,71.1,,27.0,0.0,,1.0,1.37,37.0,43.0,-6.0,-0.22,-0.4,37.2,43.2,-6.0,-0.22,0.32,GK,0
