fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
0000acda,Marco Benassi,2018,MF,22.0,2782.0,Fiorentina,Serie A,True,68.3,57.0,56.7,36.9,56.5,54.5,공격형 MF,0.61,58.3,56.4,2020.0,46.0,1
0000acda,Marco Benassi,2019,MF,23.0,2282.0,Fiorentina,Serie A,True,68.9,48.3,39.9,39.6,20.5,43.8,공격형 MF,1.23,49.7,46.8,,,0
0000acda,Marco Benassi,2020,MF,24.0,980.0,Fiorentina,Serie A,True,50.7,37.0,55.9,43.8,38.6,44.5,공격형 MF,0.51,47.6,46.0,,,0
000b3da6,Manuel Iturra,2018,MF,33.0,1583.0,Málaga,La Liga,True,26.7,21.2,11.6,50.8,73.1,33.8,수비형 파괴자,0.31,54.4,44.1,,,0
00242715,Moussa Niakhate,2018,DF,21.0,3105.0,Metz,Ligue 1,True,49.3,40.7,21.5,49.5,48.5,44.5,빌드업 수비수,0.7,43.4,44.0,2021.0,50.0,1
00242715,Moussa Niakhate,2019,DF,22.0,2789.0,Mainz 05,Bundesliga,True,51.0,28.6,36.5,49.6,58.8,47.9,스토퍼,0.01,52.8,50.3,2022.0,56.2,1
00242715,Moussa Niakhate,2020,DF,23.0,2970.0,Mainz 05,Bundesliga,True,51.9,44.2,45.1,47.7,59.4,51.6,스토퍼,0.45,54.4,53.0,2022.0,56.2,1
00242b75,Leandro Barreiro Martins,2020,MF,19.0,938.0,Mainz 05,Bundesliga,True,27.9,25.0,23.6,44.1,81.5,37.5,수비형 파괴자,1.45,58.1,47.8,2022.0,45.6,1
003a5c72,Mikel San José,2018,MF,28.0,2155.0,Athletic Club,La Liga,True,35.3,39.1,22.6,45.0,72.9,41.5,수비형 파괴자,0.68,56.5,49.0,,,0
003a5c72,Mikel San José,2019,MF,29.0,1733.0,Athletic Club,La Liga,True,29.4,37.1,30.5,45.7,74.5,42.0,수비형 파괴자,0.79,57.3,49.6,,,0
00459419,Marko Arnautović,2018,FW,28.0,2313.0,West Ham,Premier League,True,72.6,62.3,66.0,35.3,70.4,65.3,돌파형 윙어,0.93,65.3,65.3,,,0
