age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
22.0,2782.0,68.3,57.0,56.7,36.9,56.5,54.5,58.3,56.4,0.61,0.12940330697340044,0.10028756290438534,2.652767792954709,4.9173256649892165,4.787922358015816,0.6470165348670022,2.9115744069015097,2.97627606038821,1.2293314162473041,75.2,33.7,81.3,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000acda,2018,1,46.0
21.0,3105.0,49.3,40.7,21.5,49.5,48.5,44.5,43.4,44.0,0.7,0.043478260869565216,0.005797101449275362,0.4057971014492754,2.7246376811594204,2.550724637681159,0.17391304347826086,3.0144927536231885,0.5797101449275363,0.08695652173913043,77.9,66.7,90.8,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00242715,2018,1,51.5
22.0,1473.0,47.6,52.2,82.4,20.6,35.5,40.4,51.2,45.8,1.84,0.018329938900203666,0.06109979633401222,1.8940936863543787,3.1771894093686353,3.910386965376782,1.5274949083503055,2.505091649694501,0.855397148676171,0.7942973523421588,65.6,45.2,43.1,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00528660,2018,0,
21.0,1864.0,65.7,32.5,62.6,19.0,46.9,42.9,41.2,42.0,0.07,0.10622317596566525,0.1883047210300429,2.4141630901287554,2.26931330472103,2.9452789699570814,1.448497854077253,2.0761802575107295,2.0278969957081543,1.3036480686695278,69.1,32.3,60.9,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,016ff750,2018,1,46.4
18.0,1263.0,34.3,21.3,23.3,29.6,71.7,32.9,49.3,41.1,0.42,0.0498812351543943,0.06413301662707839,1.2826603325415677,2.992874109263658,2.4228028503562946,0.6413301662707839,3.0641330166270784,0.6413301662707839,0.6413301662707839,70.4,55.3,41.3,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01c3aff5,2018,1,57.8
22.0,2253.0,81.6,60.5,73.7,14.3,26.0,51.9,54.9,53.4,0.41,0.23568575233022637,0.10785619174434088,2.9161118508655126,3.03595206391478,6.7110519307589875,2.5565912117177096,2.316910785619174,5.512649800266312,1.1984021304926764,72.2,17.9,65.9,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01eb744d,2018,1,61.1
22.0,2713.0,64.8,55.1,48.0,38.4,56.1,52.0,52.3,52.2,0.16,0.09288610394397345,0.109472908219683,2.123110947290822,4.312569111684482,5.075562108367121,0.9952082565425727,2.55436785845927,2.0899373387394027,0.9288610394397345,78.8,53.1,79.3,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01efac19,2018,1,55.3
23.0,3116.0,59.0,64.4,70.9,30.3,14.8,36.4,50.5,43.4,2.07,0.03465982028241335,0.05776636713735559,1.96405648267009,2.801668806161746,8.202824133504494,2.3106546854942236,2.22400513478819,1.4441591784338896,0.837612323491656,77.4,20.5,91.1,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02caf6e0,2018,1,44.2
22.0,1618.0,56.1,71.0,84.0,24.2,44.9,60.3,54.4,57.4,0.01,0.261433868974042,0.22805933250927068,2.9480840543881337,2.1137206427688504,3.7824474660074165,1.6687268232385661,0.723114956736712,8.95550061804697,1.6687268232385661,73.5,42.1,47.3,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,03f946ed,2018,1,52.5
21.0,1153.0,85.8,69.1,89.7,27.1,37.0,62.5,65.4,64.0,0.48,0.1717259323503903,0.2810060711188205,4.917606244579358,2.575888985255854,12.879444926279271,4.371205550737207,1.0928013876843017,7.649609713790112,1.5611448395490026,79.7,60.0,37.7,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,042e8a49,2018,1,70.30000000000001
20.0,1596.0,31.7,30.3,15.4,18.6,64.3,30.1,29.7,29.9,0.41,0.2481203007518797,0.05075187969924812,1.4661654135338344,1.1278195488721805,2.142857142857143,0.9022556390977443,1.2406015037593985,3.9473684210526314,0.39473684210526316,57.9,41.0,46.70000000000001,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04e17fd5,2018,1,43.400000000000006
20.0,3264.0,55.0,66.4,62.8,36.4,56.1,56.4,58.4,57.4,0.48,0.12132352941176472,0.10477941176470588,3.28125,4.2463235294117645,5.818014705882353,1.3786764705882353,1.9301470588235294,4.439338235294118,1.2132352941176472,81.8,43.2,95.4,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05e19d6a,2018,1,55.75
23.0,1674.0,58.1,47.8,84.6,23.4,69.8,54.7,58.8,56.8,0.81,0.026881720430107524,0.09139784946236558,1.7741935483870965,3.6559139784946235,3.8172043010752685,1.3440860215053763,4.731182795698924,0.3763440860215054,1.129032258064516,65.2,60.50000000000001,48.89999999999999,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06050480,2018,0,
23.0,1203.0,62.5,47.0,61.0,53.4,55.8,57.5,59.1,58.3,0.71,0.3067331670822942,0.14214463840399003,2.6184538653366585,1.5710723192019949,2.8428927680798,1.2718204488778055,1.795511221945137,4.788029925187033,0.8977556109725685,73.6,45.89999999999999,39.3,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,061e8e23,2018,1,47.6
22.0,1747.0,23.7,15.4,26.1,25.3,42.7,24.6,24.1,24.4,0.53,0.1906124785346308,0.046365197481396676,1.8546078992558672,1.3394390383514596,0.7727532913566113,0.4636519748139668,0.9273039496279336,3.2455638236977675,0.8242701774470521,62.97538461538461,44.63384615384616,26.28952489982828,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,06f33dc8,2018,0,
23.0,2991.0,29.3,45.9,28.7,55.1,52.3,42.8,44.0,43.4,0.18,0.03610832497492478,0.07522567703109327,1.7753259779338013,4.543630892678034,3.58074222668004,1.1434302908726177,3.2497492477432295,0.6018054162487462,0.8425275827482447,80.1948795180723,52.06777108433735,76.04530257438984,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,070a3904,2018,1,39.7
23.0,1317.0,37.1,21.2,14.0,62.5,66.0,49.5,58.7,54.1,1.46,0.02050113895216401,0.0,0.0,2.050113895216401,1.2984054669703873,0.0,3.485193621867882,0.683371298405467,0.0,80.5,69.8,38.5,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0821331c,2018,1,59.75
19.0,1233.0,32.3,40.5,27.8,40.7,68.2,40.9,53.4,47.2,0.01,0.05839416058394161,0.06569343065693431,1.6058394160583942,3.1386861313868613,3.2846715328467155,0.8759124087591241,3.0656934306569346,1.4598540145985401,0.8029197080291971,75.0,60.60000000000001,36.1,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0959c2a2,2018,1,59.5
22.0,1488.0,26.8,23.4,14.1,52.7,40.0,30.4,38.7,34.6,0.11,0.042338709677419345,0.012096774193548387,1.2096774193548385,2.1774193548387095,2.9637096774193545,0.6653225806451613,2.721774193548387,0.6048387096774193,0.36290322580645157,83.62108433734939,38.97891566265059,24.31639784946236,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0984c5d5,2018,0,
20.0,1590.0,43.5,45.9,65.3,34.0,62.3,51.3,52.0,51.6,0.09,0.005660377358490566,0.08490566037735849,0.9622641509433961,3.5660377358490565,2.0377358490566038,0.5094339622641509,4.471698113207547,0.6792452830188679,0.45283018867924524,70.2,56.8,46.5,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,099e666f,2018,1,48.7
