age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
22.0,2782.0,68.3,57.0,56.7,36.9,56.5,54.5,58.3,56.4,0.61,0.12940330697340044,0.10028756290438534,2.652767792954709,4.9173256649892165,4.787922358015816,0.6470165348670022,2.9115744069015097,2.97627606038821,1.2293314162473041,75.2,33.7,81.3,0,,,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0000acda,2018,1,46.0
23.0,2282.0,68.9,48.3,39.9,39.6,20.5,43.8,49.7,46.8,1.23,0.22085889570552147,0.07887817703768625,2.1297107800175286,3.825591586327783,3.9439088518843124,0.946538124452235,1.577563540753725,3.15512708150745,0.9859772129710781,75.5,13.9,66.7,1,-9.600000000000001,0.6000000000000085,-8.700000000000003,-16.800000000000004,2.700000000000003,-36.0,0.09145558873212103,-0.02140938586669909,-0.5230570129371803,-0.8440135061315037,-1.0917340786614336,-14.599999999999994,-500.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0000acda,2019,0,
21.0,3105.0,49.3,40.7,21.5,49.5,48.5,44.5,43.4,44.0,0.7,0.043478260869565216,0.005797101449275362,0.4057971014492754,2.7246376811594204,2.550724637681159,0.17391304347826086,3.0144927536231885,0.5797101449275363,0.08695652173913043,77.9,66.7,90.8,0,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,00242715,2018,1,51.5
22.0,2789.0,51.0,28.6,36.5,49.6,58.8,47.9,52.8,50.3,0.01,0.048404446038006456,0.01936177841520258,0.7099318752240947,2.420222301900323,1.6134815346002152,0.19361778415202582,2.452491932592327,0.48404446038006455,0.22588741484403013,82.6,66.7,91.1,1,6.299999999999997,1.7000000000000028,-12.100000000000001,15.0,0.10000000000000142,10.299999999999997,0.00492618516844124,0.013564676965927218,0.30413477377481934,-0.937243103080944,-0.30441537925909756,0.29999999999999716,-316.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,00242715,2019,1,53.1
23.0,2970.0,51.9,44.2,45.1,47.7,59.4,51.6,54.4,53.0,0.45,0.030303030303030304,0.03333333333333333,0.7575757575757576,3.0303030303030303,2.5454545454545454,0.09090909090909091,2.6363636363636362,0.8484848484848485,0.36363636363636365,81.2,67.7,97.1,1,2.700000000000003,0.8999999999999986,15.600000000000001,8.600000000000001,-1.8999999999999986,0.6000000000000014,-0.018101415734976152,0.013971554918130753,0.047643882351662836,0.9319730108543303,0.6100807284027074,6.0,181.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,00242715,2020,1,56.2
19.0,938.0,27.9,25.0,23.6,44.1,81.5,37.5,58.1,47.8,1.45,0.03837953091684435,0.02878464818763326,1.3432835820895521,3.837953091684435,2.1108742004264394,0.3837953091684435,4.509594882729211,0.8635394456289979,0.47974413646055436,74.7,35.6,30.7,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,00242b75,2020,1,45.6
22.0,1473.0,47.6,52.2,82.4,20.6,35.5,40.4,51.2,45.8,1.84,0.018329938900203666,0.06109979633401222,1.8940936863543787,3.1771894093686353,3.910386965376782,1.5274949083503055,2.505091649694501,0.855397148676171,0.7942973523421588,65.6,45.2,43.1,0,,,,,,,,,,,,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,00528660,2018,0,
23.0,3209.0,26.1,10.1,10.3,46.3,74.0,29.4,51.9,40.6,0.71,0.07291991274540355,0.014023060143346837,0.8413836086008102,1.9912745403552508,1.4864443751947647,0.25241508258024303,3.337488314116547,1.2901215331879088,0.36459956372701774,74.8,56.6,93.8,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,00b28772,2019,1,41.85
21.0,2298.0,28.0,58.6,54.5,34.7,41.4,43.8,46.0,44.9,0.03,0.007832898172323759,0.027415143603133157,0.9399477806788511,4.073107049608355,3.485639686684073,0.6266318537859007,3.681462140992167,0.5483028720626631,0.4308093994778068,81.5,42.5,67.2,0,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0118c54c,2019,1,54.7
21.0,1864.0,65.7,32.5,62.6,19.0,46.9,42.9,41.2,42.0,0.07,0.10622317596566525,0.1883047210300429,2.4141630901287554,2.26931330472103,2.9452789699570814,1.448497854077253,2.0761802575107295,2.0278969957081543,1.3036480686695278,69.1,32.3,60.9,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,016ff750,2018,1,46.4
